,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
363,Taltal,40,CL,1604676812,61,-25.4,-70.48,18.43,2.91
364,Sri Aman,61,MY,1604676813,83,1.24,111.46,27.0,0.71
365,Dakar,20,SN,1604676594,66,14.69,-17.44,31.0,4.1
366,Robāţ Karīm,0,IR,1604676612,21,35.48,51.08,18.0,2.1
367,Dryden,90,CA,1604676632,70,49.78,-92.75,8.0,2.6
368,Rzhev,51,RU,1604676813,75,56.26,34.33,5.19,4.97
369,Bahār,40,IR,1604676813,17,34.91,48.44,16.0,3.1
370,Forsytheganj,98,BY,1604676814,87,52.63,29.73,8.66,5.23
371,Paamiut,100,GL,1604676814,84,61.99,-49.67,1.48,11.93
372,Hofn,20,IS,1604676814,80,64.25,-15.21,5.0,13.4
373,Jumla,0,NP,1604676814,64,29.27,82.18,4.8,1.72
374,Pombas,40,CV,1604676814,58,17.15,-25.02,29.0,3.6
375,Loei,0,TH,1604676814,100,17.42,101.5,16.93,0.77
376,Sharjah city,0,AE,1604676564,51,25.36,55.4,29.0,1.5
377,Valdivia,20,CL,1604676564,59,-39.81,-73.25,16.0,4.1
378,Sivas Province,75,TR,1604676815,86,39.79,37.0,4.0,6.7
379,Batī,0,ET,1604676815,40,11.18,40.02,20.86,1.34
380,Champerico,40,GT,1604676815,88,14.3,-91.92,25.0,2.38
381,Port Macquarie,57,AU,1604676815,89,-31.43,152.92,12.78,0.45
382,Gravelbourg,90,CA,1604676815,93,49.88,-106.55,2.0,3.6
383,Koslan,94,RU,1604676816,91,63.46,48.9,1.47,2.08
384,Cherskiy,14,RU,1604676816,95,68.75,161.3,-10.52,7.59
385,Pombia,0,IT,1604676816,67,45.65,8.63,17.0,2.6
386,Rawlins,1,US,1604676816,34,41.79,-107.24,12.22,3.1
387,Katsuura,75,JP,1604676816,71,35.13,140.3,14.0,0.5
388,Nantucket,90,US,1604676534,87,41.28,-70.1,16.0,5.1
389,Usvyaty,10,RU,1604676817,75,55.75,30.75,6.31,2.9
390,Quelimane,0,MZ,1604676817,62,-17.88,36.89,31.67,8.2
391,Teya,100,RU,1604676817,93,60.38,92.63,-10.8,2.18
392,Saint-Paul,75,RE,1604676817,78,-21.01,55.27,22.0,7.2
393,Shirokiy,100,RU,1604676817,99,49.76,129.52,-3.95,1.83
394,Lethem,20,GY,1604676817,50,3.38,-59.8,33.65,0.33
395,Kalmunai,8,LK,1604676817,78,7.42,81.82,27.54,2.53
396,Darovskoy,88,RU,1604676818,91,58.77,47.96,1.83,1.78
397,Orlik,65,RU,1604676818,86,52.52,99.83,-12.6,1.49
398,Lesozavodsk,30,RU,1604676818,79,45.48,133.42,5.02,3.52
399,Bubaque,6,GW,1604676818,72,11.28,-15.83,29.02,4.45
400,Malanje,75,AO,1604676818,78,-9.54,16.34,26.0,11.3
401,Mosquera,75,CO,1604676764,63,4.71,-74.23,16.0,1.5
402,Vestmannaeyjar,40,IS,1604676818,74,63.44,-20.27,3.0,14.9
403,Alofi,92,NU,1604676819,88,-19.06,-169.92,22.0,3.6
404,Hambantota,40,LK,1604676819,100,6.12,81.12,24.0,1.5
405,Westport,1,US,1604676795,87,41.14,-73.36,17.78,2.6
406,Yakeshi,41,CN,1604676819,95,49.28,120.73,-8.19,3.57
407,Bridgetown,40,BB,1604676727,66,13.1,-59.62,31.0,7.2
408,Basco,5,PH,1604676819,82,20.45,121.97,26.57,6.31
409,Bloemfontein,0,ZA,1604676541,31,-29.12,26.21,25.0,5.1
410,Honningsvåg,90,NO,1604676820,86,70.98,25.97,4.0,11.3
411,Morón,20,AR,1604676820,50,-34.65,-58.62,24.44,5.1
412,Graaff-Reinet,100,ZA,1604676820,43,-32.25,24.53,21.67,2.68
413,Birjand,0,IR,1604676820,11,32.87,59.22,14.0,2.1
414,Leeton,3,AU,1604676820,62,-34.57,146.4,12.22,5.7
415,Tarnów,100,PL,1604676820,75,50.01,20.99,9.44,3.44
416,Ekhabi,94,RU,1604676821,92,53.51,142.97,-2.2,5.23
417,Mar del Plata,40,AR,1604676557,47,-38.0,-57.56,24.0,2.6
418,Nybro,0,SE,1604676821,77,56.74,15.91,15.0,2.6
419,Iracoubo,16,GF,1604676821,76,5.48,-53.2,28.43,3.72
420,Gayéri,79,BF,1604676821,15,12.65,0.49,36.38,6.15
421,Rubiataba,11,BR,1604676821,42,-15.16,-49.8,31.77,1.0
422,Abnūb,0,EG,1604676821,38,27.27,31.15,25.0,6.2
423,Mossamedes,40,AO,1604676822,65,-15.2,12.15,27.0,7.7
424,Eyl,38,SO,1604676822,67,7.98,49.82,25.69,6.05
425,Vanavara,1,RU,1604676822,90,60.34,102.28,-20.19,1.63
426,Saint Anthony,1,US,1604676822,44,45.02,-93.22,17.78,5.1
427,Çorovodë,0,AL,1604676822,46,40.5,20.23,14.33,2.02
428,Klaksvík,75,FO,1604676822,100,62.23,-6.59,9.0,7.7
429,Guaratinga,75,BR,1604676823,88,-16.57,-39.57,23.0,3.1
430,Ves'yegonsk,98,RU,1604676823,70,58.66,37.26,5.46,5.33
431,Durango,0,MX,1604676584,35,24.83,-104.83,14.21,0.4
432,Labuhan,84,ID,1604676823,82,-6.88,112.21,26.98,4.26
433,Mocuba,0,MZ,1604676823,44,-16.84,36.99,30.92,4.67
434,Necochea,9,AR,1604676823,68,-38.55,-58.74,20.09,5.13
435,Nemuro,100,JP,1604676823,74,43.32,145.57,13.25,9.84
436,Coahuayana Viejo,5,MX,1604676823,56,18.73,-103.68,22.0,6.2
437,Marovoay,20,MG,1604676824,74,-16.1,46.63,28.0,5.7
438,West Wendover,1,US,1604676824,55,40.74,-114.07,4.0,2.33
439,San Jose,40,US,1604676712,58,37.34,-121.89,13.0,6.7
440,Gōtsuchō,93,JP,1604676824,78,35.0,132.22,16.95,2.31
441,Beni,100,CD,1604676824,100,0.5,29.47,18.86,0.2
442,Carstairs,0,CA,1604676824,100,51.57,-114.1,-2.22,3.6
443,Muroto-misakicho,100,JP,1604676824,90,33.28,134.15,19.36,5.05
444,Nyurba,100,RU,1604676824,88,63.28,118.33,-19.38,1.97
445,Radom,90,PL,1604676824,100,51.4,21.15,8.89,4.1
446,El Tigre,5,VE,1604676825,50,8.89,-64.25,31.18,3.52
447,Padang,100,ID,1604676825,77,-0.95,100.35,25.91,1.34
448,Pudozh,87,RU,1604676825,79,61.81,36.53,3.35,3.62
449,Porto-Novo,40,BJ,1604676825,79,6.5,2.6,30.0,5.7
450,Narsaq,75,GL,1604676825,53,60.92,-46.05,-4.0,10.8
451,Itarema,36,BR,1604676825,51,-2.92,-39.92,31.44,8.87
452,Tarazona,40,ES,1604676825,72,41.9,-1.73,18.0,11.8
453,Moose Factory,90,CA,1604676825,97,51.26,-80.61,1.0,2.1
454,Marmaris,75,TR,1604676600,60,36.85,28.27,23.0,3.6
455,Nabire,100,ID,1604676826,87,-3.37,135.48,24.93,1.67
456,Osa,100,RU,1604676826,91,57.28,55.46,2.78,3.65
457,Moscow,87,RU,1604676232,35,55.75,37.62,21.81,7.32
458,Okhotsk,2,RU,1604676826,88,59.38,143.3,-14.96,9.37
459,Russell,1,US,1604676826,72,32.35,-85.2,20.0,1.5
460,Ilulissat,40,GL,1604676826,66,69.22,-51.1,-11.0,9.8
461,Pilar,40,BR,1604676826,62,-9.6,-35.96,31.0,6.2
462,Ciupercenii Noi,51,RO,1604676826,7,43.91,22.95,11.67,2.6
463,Pangnirtung,90,CA,1604676827,61,66.15,-65.71,-8.0,1.0
464,Port Lincoln,0,AU,1604676827,79,-34.73,135.87,12.15,4.79
465,Elk Point,1,US,1604676827,62,42.68,-96.68,13.0,5.7
466,Barinitas,26,VE,1604676827,65,8.76,-70.41,27.38,2.04
467,Chifeng,5,CN,1604676827,58,42.27,118.96,4.08,4.07
468,Esil,57,KZ,1604676827,66,51.96,66.4,4.12,5.48
469,Verkhnevilyuysk,99,RU,1604676827,91,63.45,120.32,-18.46,2.02
470,Juneau,90,US,1604676824,73,58.3,-134.42,-2.22,3.6
471,Kaitangata,28,NZ,1604676579,84,-46.28,169.85,9.44,0.89
472,Vila Velha,40,BR,1604676782,78,-20.33,-40.29,26.67,7.2
473,Kaseda-shirakame,100,JP,1604676828,92,31.42,130.32,20.67,3.93
474,Lavrentiya,95,RU,1604676828,88,65.58,-171.0,1.54,13.0
475,Pinawa,88,CA,1604676828,88,50.15,-95.88,4.05,2.57
476,Matadi,89,CD,1604676828,68,-5.82,13.45,29.35,2.4
477,Pisco,90,PE,1604676828,88,-13.7,-76.22,18.33,3.6
478,Beohāri,0,IN,1604676828,37,24.05,81.38,17.77,0.15
479,Koygorodok,100,RU,1604676828,95,60.45,51.0,2.65,2.68
480,Dahra,40,DZ,1604676829,16,36.25,0.85,30.0,7.2
481,Kasongo,74,CD,1604676829,91,-4.45,26.67,23.51,0.79
482,Charters Towers,0,AU,1604676829,77,-20.1,146.27,22.89,4.72
483,Buraidah,40,SA,1604676829,21,26.33,43.98,28.0,3.1
484,Yerbogachën,62,RU,1604676829,90,61.28,108.01,-21.66,2.45
485,Si Bun Rueang,50,TH,1604676829,72,16.97,102.28,23.92,1.18
486,Nongstoin,0,IN,1604676829,89,25.52,91.27,12.8,2.19
487,North Platte,1,US,1604676830,40,41.12,-100.77,12.0,7.74
488,Rovaniemi,0,FI,1604676830,80,66.5,25.72,4.0,6.7
489,Dekar,32,BW,1604676830,10,-21.53,21.93,34.53,4.96
490,Shimoda,81,JP,1604676830,84,34.67,138.95,14.44,0.89
491,Sinnamary,15,GF,1604676830,78,5.38,-52.95,28.43,3.64
492,Ploemeur,0,FR,1604676830,71,47.73,-3.43,14.0,5.1
493,Krasnoarmeysk,100,RU,1604676830,100,51.02,45.7,6.58,5.71
494,Shaowu,25,CN,1604676830,77,27.34,117.48,15.97,1.45
495,Nguruka,89,TZ,1604676831,40,-5.11,31.04,27.55,1.26
496,Barra de Tecoanapa,99,MX,1604676831,65,16.52,-98.75,28.77,1.46
497,Mbandaka,96,CD,1604676831,91,0.05,18.26,24.36,1.53
498,Nizhniy Ingash,46,RU,1604676831,96,56.2,96.53,-10.01,1.55
499,Porgera,97,PG,1604676831,100,-5.47,143.2,4.32,0.41
500,Tacuarembó,0,UY,1604676831,54,-31.73,-55.98,23.98,4.75
501,Nakambala,70,ZM,1604676831,18,-15.83,27.78,33.4,2.78
502,Ordzhonīkīdze,100,KZ,1604676832,55,52.44,61.74,6.54,7.62
503,Harper,83,LR,1604676832,86,4.38,-7.72,26.55,4.79
504,Oliver,46,CA,1604676577,77,49.18,-119.55,6.0,3.1
505,Goderich,100,CA,1604676832,76,43.75,-81.72,12.0,6.2
506,Warner Robins,1,US,1604676733,68,32.62,-83.6,21.0,3.6
507,Bambanglipuro,99,ID,1604676832,89,-7.95,110.28,25.71,2.49
508,Myitkyina,0,MM,1604676832,86,25.38,97.4,19.99,1.06
509,Araxá,40,BR,1604676833,25,-19.59,-46.94,29.0,2.6
510,Auki,100,SB,1604676833,82,-8.77,160.7,25.35,1.52
511,Cap Malheureux,9,MU,1604676833,67,-19.98,57.61,23.33,3.58
512,Ten'gushevo,53,RU,1604676833,80,54.77,42.72,3.98,4.38
513,Oruzgan,0,AF,1604676833,64,32.83,66.0,5.47,0.52
514,El Alto,20,PE,1604676833,53,-4.27,-81.21,24.0,6.2
515,Hīt,0,IQ,1604676833,41,33.64,42.83,22.2,2.84
516,Marzuq,0,YE,1604676833,54,14.4,46.47,18.99,2.76
517,Roald,75,NO,1604676834,87,62.58,6.13,10.0,10.3
518,Venado,74,MX,1604676834,63,22.93,-101.08,12.24,0.96
519,Codrington,75,AU,1604676835,83,-38.27,141.97,9.26,4.83
520,Tokmak,17,UA,1604676835,71,47.25,35.71,8.19,3.87
521,Saiha,0,IN,1604676835,80,22.48,92.97,18.02,1.3
522,Morro Bay,40,US,1604676835,95,35.37,-120.85,17.78,3.21
523,Vorukh,38,TJ,1604676835,39,39.85,70.58,8.17,3.16
524,Los Llanos de Aridane,40,ES,1604676835,57,28.66,-17.92,24.0,4.6
525,Arrondissement d'Ajaccio,0,FR,1604676329,77,42.0,8.92,19.0,3.1
526,Opuwo,0,NA,1604676836,13,-18.06,13.84,31.24,9.34
527,Santa Maria,20,BR,1604676836,49,-29.68,-53.81,23.0,6.7
528,Touros,40,BR,1604676836,58,-5.2,-35.46,31.0,6.2
529,Chara,100,RU,1604676836,85,56.91,118.26,-13.47,0.5
530,Khandyga,0,RU,1604676836,85,62.67,135.6,-24.87,1.42
531,Mandalī,52,IQ,1604676836,37,33.75,45.55,24.95,6.18
532,Esim,61,GH,1604676837,77,4.87,-2.24,27.91,2.93
533,Galle,100,LK,1604676837,83,6.04,80.22,26.41,1.8
534,Margate,44,GB,1604676837,60,51.38,1.39,11.67,1.79
535,Itapirapuã,11,BR,1604676837,29,-15.82,-50.61,35.59,0.93
536,Ulaanbaatar,40,MN,1604676837,79,47.91,106.88,-3.0,7.0
537,Kerema,96,PG,1604676837,86,-7.96,145.78,24.8,0.86
538,Soria,100,ES,1604676838,92,41.67,-2.67,12.22,3.58
539,Weinan,0,CN,1604676838,70,34.5,109.51,11.67,2.0
540,Ambilobe,26,MG,1604676838,72,-13.2,49.05,25.68,0.73
541,Ayan,0,RU,1604676838,86,56.45,138.17,-7.35,6.61
542,Kumul,0,CN,1604676838,61,42.8,93.45,2.93,1.94
543,Roura,75,GF,1604676838,74,4.73,-52.33,30.0,4.1
544,Sohag,0,EG,1604676838,38,26.56,31.69,24.0,6.2
545,Villa Carlos Paz,1,AR,1604676839,28,-31.42,-64.5,27.78,1.79
546,Bud,1,US,1604676839,67,39.45,-86.18,16.67,1.5
547,Shchebetovka,34,UA,1604676839,70,44.93,35.15,8.82,6.31
548,Ciudad Juárez,40,MX,1604676544,23,31.73,-106.48,18.33,1.5
549,Mangai,100,CD,1604676839,86,-4.05,19.53,23.27,0.94
550,Traverse City,40,US,1604676839,67,44.76,-85.62,16.11,4.1
551,Launceston,0,AU,1604676690,65,-41.45,147.17,5.0,2.1
552,Palembang,100,ID,1604676840,92,-2.92,104.75,24.5,1.43
553,Ilek,100,RU,1604676840,65,51.53,53.38,7.92,3.49
554,The Valley,20,AI,1604676840,70,18.22,-63.06,30.0,6.2
555,Karratha,0,AU,1604676840,39,-20.74,116.85,26.1,5.74
556,Bunawan,100,PH,1604676840,98,8.17,126.08,23.05,0.27
557,Cave Spring,1,US,1604676840,54,37.23,-80.01,16.67,0.65
558,Jiquipilas,90,MX,1604676840,94,16.67,-93.65,21.0,3.42
559,Troy,1,US,1604676841,67,42.61,-83.15,15.56,2.6
560,Novorudnyy,0,RU,1604676841,41,51.5,58.19,5.0,5.0
561,Manta,75,EC,1604676841,73,-0.95,-80.73,25.0,3.1
562,Prainha,30,BR,1604676841,55,-1.8,-53.48,31.63,3.27
563,Howard Springs,40,AU,1604676841,83,-12.5,131.05,26.0,0.86
564,Stykkisholmur,92,IS,1604676841,80,65.08,-22.73,1.89,10.53
565,Tanout,2,NE,1604676842,13,14.97,8.89,30.17,5.85
566,Kangaatsiaq,79,GL,1604676842,94,68.31,-53.46,-9.22,7.32
567,Makokou,75,GA,1604676842,66,0.57,12.86,29.0,1.11
568,Najrān,20,SA,1604676842,19,17.49,44.13,26.0,4.1
569,Gigmoto,99,PH,1604676842,85,13.78,124.39,26.83,3.08
570,Aklavik,90,CA,1604676842,85,68.22,-135.01,-9.0,2.1
571,Marawi,100,PH,1604676843,91,8.0,124.29,25.56,0.45
572,Kupang,0,ID,1604676843,74,-10.17,123.58,27.3,3.73
573,Ganzhou,0,CN,1604676844,69,28.82,115.43,16.39,1.96
574,Vicuña,0,CL,1604676844,21,-30.03,-70.71,25.56,2.24
575,Jining,0,CN,1604676844,37,35.41,116.58,13.16,1.95
576,Leh,5,IN,1604676844,67,34.17,77.58,-1.15,2.47
577,Excelsior Springs,90,US,1604676742,100,39.34,-94.23,14.44,1.5
578,Santa Fe,0,AR,1604676844,34,-31.63,-60.7,28.89,1.79
579,Gao,11,ML,1604676844,11,16.64,1.64,32.72,7.72
580,Veselí nad Lužnicí,0,CZ,1604676845,100,49.18,14.7,6.67,0.54
581,Sokółka,75,PL,1604676642,87,53.41,23.5,11.0,3.0
582,Ambon City,100,ID,1604676845,15,-3.7,128.18,25.56,3.27
583,Kondinskoye,100,RU,1604676845,96,59.65,67.41,0.85,3.56
